,Year,Storms,Hurricanes,Major Hurricanes,ACE,U.S. Hurricanes
0,1851,6,3,1,36,"2 (1,3)"
1,1852,5,5,1,73,"4 (1,3,1,2)"
2,1853,8,4,2,76,1 (1)
3,1854,5,3,1,31,"3 (1,3,2)"
4,1855,5,4,1,18,1 (3)
5,1856,6,4,2,49,"2 (4,2)"
6,1857,4,3,0,40,1 (2)
7,1858,6,6,0,45,1 (1)
8,1859,8,7,1,56,"2 (1,1)"
9,1860,7,6,1,62,"3 (3,2,2)"
10,1861,8,6,0,50,"3 (1,1,1)"
11,1862,6,3,0,46,0
12,1863,9,5,0,50,0
13,1864,5,3,0,27,0
14,1865,7,3,0,49,"2 (2,2)"
15,1866,7,6,1,84,1 (2)
16,1867,9,7,1,60,"2 (1,2)"
17,1868,4,3,0,35,0
18,1869,10,7,1,51,"4 (2,1,3,2)"
19,1870,11,10,2,88,"3 (1,1,1)"
20,1871,8,6,2,88,"3 (3,2,1)"
21,1872,5,4,0,65,0
22,1873,5,3,2,69,"2 (1,3)"
23,1874,7,4,0,47,1 (1)
24,1875,6,5,1,72,1 (3)
25,1876,5,4,2,57,"2 (1,2)"
26,1877,8,3,1,73,"2 (1,3)"
27,1878,12,10,2,181,"2 (2,2)"
28,1879,8,6,2,64,"3 (3,2,3)"
29,1880,11,9,2,131,"4 (3,2,1,1)"
30,1881,7,4,0,59,"2 (2,2)"
31,1882,6,4,2,59,"2 (3,1)"
32,1883,4,3,2,67,1 (2)
33,1884,4,4,1,72,0
34,1885,8,6,0,58,1 (2)
35,1886,12,10,4,166,"7 (2,2,2,1,4,1,3)"
36,1887,19,11,2,181,"4 (1,1,1,1)"
37,1888,9,6,2,85,"3 (1,3,2)"
38,1889,9,6,0,104,1 (1)
39,1890,4,2,1,33,0
40,1891,10,7,1,116,"2 (1,1)"
41,1892,9,5,0,116,0
42,1893,12,10,5,231,"5 (1,3,2,4,3)"
43,1894,7,5,4,135,"2 (2,3)"
44,1895,6,2,0,69,1 (1)
45,1896,7,6,2,136,"3 (2,1,3)"
46,1897,6,3,0,55,1 (1)
47,1898,11,5,1,113,"3 (1,1,4)"
48,1899,10,5,2,151,"3 (2,3,2)"
49,1900,7,3,2,83,1 (4)
50,1901,13,6,0,99,"2 (1,1)"
51,1902,5,3,0,33,0
52,1903,10,7,1,102,"2 (1,1)"
53,1904,6,4,0,30,"2 (1,1)"
54,1905,5,1,1,28,0
55,1906,11,6,3,163,"4 (1,1,2,3)"
56,1907,5,0,0,13,0
57,1908,10,6,1,95,1 (1)
58,1909,12,6,4,93,"5 (2,3,1,3,3)"
59,1910,5,3,1,64,"2 (2,2)"
60,1911,6,3,0,35,"2 (1,2)"
61,1912,7,4,1,57,"2 (1,2)"
62,1913,6,4,0,36,"3 (1,1,1)"
63,1914,1,0,0,3,0
64,1915,6,5,3,130,"4 (1,4,1,3)"
65,1916,15,10,5,144,"4 (3,2,4,2)"
66,1917,4,2,2,61,1 (3)
67,1918,6,4,1,40,"2 (3,1)"
68,1919,5,2,1,55,1 (4)
69,1920,5,4,0,30,1 (2)
70,1921,7,5,2,87,"2 (1,3)"
71,1922,5,3,1,55,0
72,1923,9,4,1,49,1 (1)
73,1924,11,5,2,100,"3 (1,1,1)"
74,1925,4,1,0,7,0
75,1926,11,8,6,230,"4 (2,3,4,1)"
76,1927,8,4,1,56,0
77,1928,6,4,1,83,"2 (2,4)"
78,1929,5,3,1,48,"2 (1,3)"
79,1930,3,2,2,50,0
80,1931,13,3,1,48,0
81,1932,15,6,4,170,"2 (4,1)"
82,1933,20,11,6,259,"5 (1,1,3,3,2)"
83,1934,13,7,1,48,"3 (2,1,1)"
84,1935,8,5,3,106,"2 (5,2)"
85,1936,17,7,1,100,"3 (1,2,1)"
86,1937,11,4,1,66,0
87,1938,9,4,2,78,"2 (1,3)"
88,1939,6,3,1,34,1 (1)
89,1940,9,6,0,68,"2 (2,2)"
90,1941,6,4,3,52,"2 (3,2)"
91,1942,11,4,1,63,"2 (1,3)"
92,1943,10,5,2,94,1 (2)
93,1944,14,8,3,104,"3 (1,2,3)"
94,1945,11,5,2,63,"3 (1,3,4)"
95,1946,7,3,0,20,1 (1)
96,1947,10,5,2,88,"3 (1,4,2)"
97,1948,10,6,4,95,"3 (1,4,2)"
98,1949,16,7,2,96,"3 (1,4,2)"
99,1950,16,11,6,211,"3 (1,3,4)"
100,1951,12,8,3,126,0
101,1952,11,5,2,69,1 (2)
102,1953,14,7,3,99,"3 (1,1,1)"
103,1954,16,7,3,111,"3 (3,2,4)"
104,1955,13,9,4,158,"2 (2,2)"
105,1956,12,4,1,57,1 (1)
106,1957,8,3,2,79,1 (3)
107,1958,12,7,3,110,1 (3)
108,1959,14,7,2,77,"3 (1,1,4)"
109,1960,8,4,2,73,"2 (4,1) 1961111288752051891 (4)1 (4) 1962573410365000 196391077231181131 (1)0 1964121367651701534 (2,2,2,2)4 (2,2,2,2) 1965610441184881 (3)1 (4) 1966111577331451392 (2,1)2 (3, 2) 196781366111221261 (3)1 (3) 196889440045471 (2)1 (2) 196918181212531661492 (5,1)1 (5) 19701014572240671 (3)1 (4) 19711313661197973 (2,1,1)3 (2,1,1) 197277330036361 (1)1 (1) 1973884411484800 19741111442268681 (3)1 (3) 197599663376761 (3)1 (3) 19761010662284841 (1)1 (1) 197766551125251 (1)1 (1) 197812125522636300 197999552293933 (1,2,3)3 (1,2,3) 1980111199221491491 (3)1 (3) 19811212773310010000 1982662211323200 198344331117171 (3)1 (3) 19841313551184841 (3)1 (3) 19851111773388886 (1,1,3,3,1,2)6 (1,1,3,3,1,2) 198666440036362 (1,1)2 (1,1) 198777331134341 (1)1 (1) 1988121255331031031 (1)1 (1) 1989111177221351353 (1,4,1)3 (1,4,1) 199014148811979700 199188442236361 (2)1 (2) 199277441173761 (4)1 (5) 199388441139391 (3)1 (3) 1994773300323200 199519191111552282282 (2,3)2 (2,3) 1996131399661661662 (2,3)2 (2,3) 199788331141411 (1)1 (1) 199814141010331821823 (2,1,2)3 (2,1,2) 1999121288551771773 (3,2,1)3 (3,2,1) 20001515883311911900 20011515994411011000 20021212442267671 (1)1 (1) 2003161677331761762 (1,2)2 (1,2) 2004151599662272276 (1,4,1,2,3,3)6 (1,4,1,2,3,3) 200528281515772502506 (1,3,3,1,3,3)6 (1,3,3,1,3,3) 200610105522797900 20071515662274741 (1)1 (1) 2008161688551461463 (1,2,2)3 (1,2,2) 2009993322535300 2010191912125516516500 2011191977441261261 (1)1 (1) 201219191010221291292 (1,1)2 (1,1) 20131414 2200363600 201488 662267671 (2)1 (2) 20151111 4422636300 20161515 77441411412 (1,1)2 (1,1)  20171717 1010662232233 (4,1,1)3 (4,1,1) 	20181515 88221321322 (1,5)2 (1,5) 	20191818 66331321322 (1,2)2 (1,2) 	20203030 1414771801806 (1,1,4,2,2,3)6 (1,1,4,2,2,3) 	2021212177441441442 (4,1)2 (4,1) 	20221414882293931 (4)1 (4)"
110,1961,12,8,5,189,"1 (4) 1962573410365000 196391077231181131 (1)0 1964121367651701534 (2,2,2,2)4 (2,2,2,2) 1965610441184881 (3)1 (4) 1966111577331451392 (2,1)2 (3, 2) 196781366111221261 (3)1 (3) 196889440045471 (2)1 (2) 196918181212531661492 (5,1)1 (5) 19701014572240671 (3)1 (4) 19711313661197973 (2,1,1)3 (2,1,1) 197277330036361 (1)1 (1) 1973884411484800 19741111442268681 (3)1 (3) 197599663376761 (3)1 (3) 19761010662284841 (1)1 (1) 197766551125251 (1)1 (1) 197812125522636300 197999552293933 (1,2,3)3 (1,2,3) 1980111199221491491 (3)1 (3) 19811212773310010000 1982662211323200 198344331117171 (3)1 (3) 19841313551184841 (3)1 (3) 19851111773388886 (1,1,3,3,1,2)6 (1,1,3,3,1,2) 198666440036362 (1,1)2 (1,1) 198777331134341 (1)1 (1) 1988121255331031031 (1)1 (1) 1989111177221351353 (1,4,1)3 (1,4,1) 199014148811979700 199188442236361 (2)1 (2) 199277441173761 (4)1 (5) 199388441139391 (3)1 (3) 1994773300323200 199519191111552282282 (2,3)2 (2,3) 1996131399661661662 (2,3)2 (2,3) 199788331141411 (1)1 (1) 199814141010331821823 (2,1,2)3 (2,1,2) 1999121288551771773 (3,2,1)3 (3,2,1) 20001515883311911900 20011515994411011000 20021212442267671 (1)1 (1) 2003161677331761762 (1,2)2 (1,2) 2004151599662272276 (1,4,1,2,3,3)6 (1,4,1,2,3,3) 200528281515772502506 (1,3,3,1,3,3)6 (1,3,3,1,3,3) 200610105522797900 20071515662274741 (1)1 (1) 2008161688551461463 (1,2,2)3 (1,2,2) 2009993322535300 2010191912125516516500 2011191977441261261 (1)1 (1) 201219191010221291292 (1,1)2 (1,1) 20131414 2200363600 201488 662267671 (2)1 (2) 20151111 4422636300 20161515 77441411412 (1,1)2 (1,1)  20171717 1010662232233 (4,1,1)3 (4,1,1) 	20181515 88221321322 (1,5)2 (1,5) 	20191818 66331321322 (1,2)2 (1,2) 	20203030 1414771801806 (1,1,4,2,2,3)6 (1,1,4,2,2,3) 	2021212177441441442 (4,1)2 (4,1) 	20221414882293931 (4)1 (4)"
111,1962,7,4,0,50,"0 196391077231181131 (1)0 1964121367651701534 (2,2,2,2)4 (2,2,2,2) 1965610441184881 (3)1 (4) 1966111577331451392 (2,1)2 (3, 2) 196781366111221261 (3)1 (3) 196889440045471 (2)1 (2) 196918181212531661492 (5,1)1 (5) 19701014572240671 (3)1 (4) 19711313661197973 (2,1,1)3 (2,1,1) 197277330036361 (1)1 (1) 1973884411484800 19741111442268681 (3)1 (3) 197599663376761 (3)1 (3) 19761010662284841 (1)1 (1) 197766551125251 (1)1 (1) 197812125522636300 197999552293933 (1,2,3)3 (1,2,3) 1980111199221491491 (3)1 (3) 19811212773310010000 1982662211323200 198344331117171 (3)1 (3) 19841313551184841 (3)1 (3) 19851111773388886 (1,1,3,3,1,2)6 (1,1,3,3,1,2) 198666440036362 (1,1)2 (1,1) 198777331134341 (1)1 (1) 1988121255331031031 (1)1 (1) 1989111177221351353 (1,4,1)3 (1,4,1) 199014148811979700 199188442236361 (2)1 (2) 199277441173761 (4)1 (5) 199388441139391 (3)1 (3) 1994773300323200 199519191111552282282 (2,3)2 (2,3) 1996131399661661662 (2,3)2 (2,3) 199788331141411 (1)1 (1) 199814141010331821823 (2,1,2)3 (2,1,2) 1999121288551771773 (3,2,1)3 (3,2,1) 20001515883311911900 20011515994411011000 20021212442267671 (1)1 (1) 2003161677331761762 (1,2)2 (1,2) 2004151599662272276 (1,4,1,2,3,3)6 (1,4,1,2,3,3) 200528281515772502506 (1,3,3,1,3,3)6 (1,3,3,1,3,3) 200610105522797900 20071515662274741 (1)1 (1) 2008161688551461463 (1,2,2)3 (1,2,2) 2009993322535300 2010191912125516516500 2011191977441261261 (1)1 (1) 201219191010221291292 (1,1)2 (1,1) 20131414 2200363600 201488 662267671 (2)1 (2) 20151111 4422636300 20161515 77441411412 (1,1)2 (1,1)  20171717 1010662232233 (4,1,1)3 (4,1,1) 	20181515 88221321322 (1,5)2 (1,5) 	20191818 66331321322 (1,2)2 (1,2) 	20203030 1414771801806 (1,1,4,2,2,3)6 (1,1,4,2,2,3) 	2021212177441441442 (4,1)2 (4,1) 	20221414882293931 (4)1 (4)"
112,1963,10,7,3,113,"0 1964121367651701534 (2,2,2,2)4 (2,2,2,2) 1965610441184881 (3)1 (4) 1966111577331451392 (2,1)2 (3, 2) 196781366111221261 (3)1 (3) 196889440045471 (2)1 (2) 196918181212531661492 (5,1)1 (5) 19701014572240671 (3)1 (4) 19711313661197973 (2,1,1)3 (2,1,1) 197277330036361 (1)1 (1) 1973884411484800 19741111442268681 (3)1 (3) 197599663376761 (3)1 (3) 19761010662284841 (1)1 (1) 197766551125251 (1)1 (1) 197812125522636300 197999552293933 (1,2,3)3 (1,2,3) 1980111199221491491 (3)1 (3) 19811212773310010000 1982662211323200 198344331117171 (3)1 (3) 19841313551184841 (3)1 (3) 19851111773388886 (1,1,3,3,1,2)6 (1,1,3,3,1,2) 198666440036362 (1,1)2 (1,1) 198777331134341 (1)1 (1) 1988121255331031031 (1)1 (1) 1989111177221351353 (1,4,1)3 (1,4,1) 199014148811979700 199188442236361 (2)1 (2) 199277441173761 (4)1 (5) 199388441139391 (3)1 (3) 1994773300323200 199519191111552282282 (2,3)2 (2,3) 1996131399661661662 (2,3)2 (2,3) 199788331141411 (1)1 (1) 199814141010331821823 (2,1,2)3 (2,1,2) 1999121288551771773 (3,2,1)3 (3,2,1) 20001515883311911900 20011515994411011000 20021212442267671 (1)1 (1) 2003161677331761762 (1,2)2 (1,2) 2004151599662272276 (1,4,1,2,3,3)6 (1,4,1,2,3,3) 200528281515772502506 (1,3,3,1,3,3)6 (1,3,3,1,3,3) 200610105522797900 20071515662274741 (1)1 (1) 2008161688551461463 (1,2,2)3 (1,2,2) 2009993322535300 2010191912125516516500 2011191977441261261 (1)1 (1) 201219191010221291292 (1,1)2 (1,1) 20131414 2200363600 201488 662267671 (2)1 (2) 20151111 4422636300 20161515 77441411412 (1,1)2 (1,1)  20171717 1010662232233 (4,1,1)3 (4,1,1) 	20181515 88221321322 (1,5)2 (1,5) 	20191818 66331321322 (1,2)2 (1,2) 	20203030 1414771801806 (1,1,4,2,2,3)6 (1,1,4,2,2,3) 	2021212177441441442 (4,1)2 (4,1) 	20221414882293931 (4)1 (4)"
113,1964,13,7,5,153,"4 (2,2,2,2) 1965610441184881 (3)1 (4) 1966111577331451392 (2,1)2 (3, 2) 196781366111221261 (3)1 (3) 196889440045471 (2)1 (2) 196918181212531661492 (5,1)1 (5) 19701014572240671 (3)1 (4) 19711313661197973 (2,1,1)3 (2,1,1) 197277330036361 (1)1 (1) 1973884411484800 19741111442268681 (3)1 (3) 197599663376761 (3)1 (3) 19761010662284841 (1)1 (1) 197766551125251 (1)1 (1) 197812125522636300 197999552293933 (1,2,3)3 (1,2,3) 1980111199221491491 (3)1 (3) 19811212773310010000 1982662211323200 198344331117171 (3)1 (3) 19841313551184841 (3)1 (3) 19851111773388886 (1,1,3,3,1,2)6 (1,1,3,3,1,2) 198666440036362 (1,1)2 (1,1) 198777331134341 (1)1 (1) 1988121255331031031 (1)1 (1) 1989111177221351353 (1,4,1)3 (1,4,1) 199014148811979700 199188442236361 (2)1 (2) 199277441173761 (4)1 (5) 199388441139391 (3)1 (3) 1994773300323200 199519191111552282282 (2,3)2 (2,3) 1996131399661661662 (2,3)2 (2,3) 199788331141411 (1)1 (1) 199814141010331821823 (2,1,2)3 (2,1,2) 1999121288551771773 (3,2,1)3 (3,2,1) 20001515883311911900 20011515994411011000 20021212442267671 (1)1 (1) 2003161677331761762 (1,2)2 (1,2) 2004151599662272276 (1,4,1,2,3,3)6 (1,4,1,2,3,3) 200528281515772502506 (1,3,3,1,3,3)6 (1,3,3,1,3,3) 200610105522797900 20071515662274741 (1)1 (1) 2008161688551461463 (1,2,2)3 (1,2,2) 2009993322535300 2010191912125516516500 2011191977441261261 (1)1 (1) 201219191010221291292 (1,1)2 (1,1) 20131414 2200363600 201488 662267671 (2)1 (2) 20151111 4422636300 20161515 77441411412 (1,1)2 (1,1)  20171717 1010662232233 (4,1,1)3 (4,1,1) 	20181515 88221321322 (1,5)2 (1,5) 	20191818 66331321322 (1,2)2 (1,2) 	20203030 1414771801806 (1,1,4,2,2,3)6 (1,1,4,2,2,3) 	2021212177441441442 (4,1)2 (4,1) 	20221414882293931 (4)1 (4)"
114,1965,10,4,1,88,1 (4)
115,1966,15,7,3,139,"2 (3, 2)"
116,1967,13,6,1,126,1 (3)
117,1968,9,4,0,47,1 (2)
118,1969,18,12,3,149,1 (5)
119,1970,14,7,2,67,1 (4)
120,1971,13,6,1,97,"3 (2,1,1)"
121,1972,7,3,0,36,1 (1)
122,1973,8,4,1,48,0
123,1974,11,4,2,68,1 (3)
124,1975,9,6,3,76,1 (3)
125,1976,10,6,2,84,1 (1)
126,1977,6,5,1,25,1 (1)
127,1978,12,5,2,63,0
128,1979,9,5,2,93,"3 (1,2,3)"
129,1980,11,9,2,149,1 (3)
130,1981,12,7,3,100,0
131,1982,6,2,1,32,0
132,1983,4,3,1,17,1 (3)
133,1984,13,5,1,84,1 (3)
134,1985,11,7,3,88,"6 (1,1,3,3,1,2)"
135,1986,6,4,0,36,"2 (1,1)"
136,1987,7,3,1,34,1 (1)
137,1988,12,5,3,103,1 (1)
138,1989,11,7,2,135,"3 (1,4,1)"
139,1990,14,8,1,97,0
140,1991,8,4,2,36,1 (2)
141,1992,7,4,1,76,1 (5)
142,1993,8,4,1,39,1 (3)
143,1994,7,3,0,32,0
144,1995,19,11,5,228,"2 (2,3)"
145,1996,13,9,6,166,"2 (2,3)"
146,1997,8,3,1,41,1 (1)
147,1998,14,10,3,182,"3 (2,1,2)"
148,1999,12,8,5,177,"3 (3,2,1)"
149,2000,15,8,3,119,0
150,2001,15,9,4,110,0
151,2002,12,4,2,67,1 (1)
152,2003,16,7,3,176,"2 (1,2)"
153,2004,15,9,6,227,"6 (1,4,1,2,3,3)"
154,2005,28,15,7,250,"6 (1,3,3,1,3,3)"
155,2006,10,5,2,79,0
156,2007,15,6,2,74,1 (1)
157,2008,16,8,5,146,"3 (1,2,2)"
158,2009,9,3,2,53,0
159,2010,19,12,5,165,0
160,2011,19,7,4,126,1 (1)
161,2012,19,10,2,129,"2 (1,1)"
162,2013,14,2,0,36,0
163,2014,8,6,2,67,1 (2)
164,2015,11,4,2,63,0
165,2016,15,7,4,141,"2 (1,1)"
166,2017,17,10,6,223,"3 (4,1,1)"
167,2018,15,8,2,132,"2 (1,5)"
168,2019,18,6,3,132,"2 (1,2)"
169,2020,30,14,7,180,"6 (1,1,4,2,2,3)"
170,2021,21,7,4,144,"2 (4,1)"
171,2022,14,8,2,93,1 (4)
